timestamp,close_CCCAGG,high_CCCAGG,low_CCCAGG,open_CCCAGG,time,volumefrom_CCCAGG,volumeto_CCCAGG,close_kraken,high_kraken,low_kraken,open_kraken,volumefrom_kraken,volumeto_kraken
2019-06-11 10:37:00,7803.24,7805.29,7797.58,7805.29,1560249420,19.92,155120.57,7799.1,7799.1,7799.1,7799.1,0.0,0.0
2019-06-11 10:38:00,7806.16,7807.5,7802.97,7803.24,1560249480,23.81,185709.94,7799.9,7800.0,7792.6,7799.1,13.72,107006.25
2019-06-11 10:39:00,7813.94,7814.27,7805.56,7806.16,1560249540,12.94,101063.66,7805.1,7805.1,7799.9,7799.9,3.095,24154.57
2019-06-11 10:40:00,7820.14,7820.14,7813.72,7813.94,1560249600,34.83,272072.54,7811.0,7811.0,7805.1,7805.1,5.148,40205.02
2019-06-11 10:41:00,7816.99,7820.27,7814.38,7820.14,1560249660,15.85,123746.85,7811.0,7811.0,7809.9,7811.0,0.3896,3043.33
2019-06-11 10:42:00,7812.88,7819.05,7812.73,7816.99,1560249720,17.63,137726.84,7809.0,7811.0,7809.0,7811.0,3.996,31212.9
2019-06-11 10:43:00,7812.89,7813.02,7809.75,7812.88,1560249780,15.94,124444.84,7806.0,7809.1,7806.0,7809.0,10.05,78449.0
2019-06-11 10:44:00,7811.21,7812.89,7810.49,7812.89,1560249840,8.494,66774.27,7804.9,7806.8,7804.9,7806.0,1.007,7856.78
2019-06-11 10:45:00,7812.0,7812.89,7808.22,7811.21,1560249900,7.905,61963.59,7806.4,7806.4,7803.8,7804.9,0.05936,463.21
2019-06-11 10:46:00,7808.68,7813.82,7808.26,7812.0,1560249960,19.06,148829.89,7806.3,7806.4,7806.3,7806.4,0.6758,5275.52
2019-06-11 10:47:00,7809.41,7810.17,7808.3,7808.68,1560250020,13.59,106022.43,7806.1,7806.3,7806.1,7806.3,0.002,15.61
2019-06-11 10:48:00,7807.73,7810.09,7807.32,7809.41,1560250080,4.344,33914.26,7806.0,7806.1,7803.5,7806.1,0.3719,2902.94
2019-06-11 10:49:00,7811.14,7812.42,7807.73,7807.73,1560250140,13.86,108180.15,7807.0,7807.0,7804.7,7806.0,3.067,23943.4
